"In a 20 mph collision, 4% of pedestrians die, 30 mph is 55%, and 40 mph is over 80%.","Guide for the Planning, Design, and Operation of Pedestrian Facilities",,,,AASHTO,,Cars
"It is the absurd premise of real estate marketing to offer buildings of uniqueness, exclusivity and luxury to everyman.",,,Andrés,,Duany,,Marketing
This much is evident: aesthetics matter very much to the middle class.,,,Douglas,,Duany,,Marketing
There is nothing more pathetic to behold than a Modernist architect trying to turn a mere house into a bid at immortality.,,,Andrés,,Duany,,Modernism
Current architectural education is the pursuit of the carefully arbitrary.,,,Andrés,,Duany,,Modernism
"Modern architecture, as defined by the pioneers, is to serve mass culture and to be shaped by mass production. Deconstructivism does not share these aims. It is, in fact, produced by exquisite craft technique and appreciated only by a cultural elite -- it is a revival fit for Rusk. Their claims of social radicalism is comically at odds with the expensive houses and chic ristoranti of its production. Only the neurosis of its practitioners confirms its modernist currency.",,,Andrés,,Duany,,Modernism
"Because he knows nothing of the codes and practices that actually shape the modern city, Koolhaas does not understand that what he perceives as a stimulating freedom is actually a deterministic set of interlocking practices controlled by specialists in marketing and engineering, by municipal codes and banking practice. This system has been evolved and perfected for half a century by a developer-controlled think-tank called, the Urban Land Institute. The entire system is as precise as any that has ever guided the hand of the architecture. The proof is immediate: the difficulty of implementing even the slightest deviation, either aesthetic or typological.",,,Andrés,,Duany,,Modernism
Modern architects recognize 300 masterpieces but ignore the other 30 million buildings that have ruined the world.,,,Andrés,,Duany,,Modernism
Gehry and Eisenman can no longer get our attention. The only remaining radical act that will scandalize critics accustomed to everything is to build a classical building.,,,Andrés,,Duany,,Modernism
"As a cultural institution, Disney is more influential than Harvard.",,,Andrés,,Duany,,Modernism
"Deconstructivism is the Urban Style. It attempts to compress the complexity, which is the purview of an entire street, into the ornament of a single building, there to call it the architecture of the real world. Disneyworld is more authentic.",,,Andrés,,Duany,,Modernism
The architectural avant-garde extols cinematic illusion but denigrate its masterpiece: Williamsburg.,,,Andrés,,Duany,,Modernism
The Modernists are nostalgic... for a future that will never happen.,,,Andrés,,Duany,,Modernism
"Of modernity's many experiments, the first one that has aborted is individualism.",,,Douglas,,Duany,,Modernism
"What condemns modernism is not its theory, but its practice.",,,Douglas,,Duany,,Modernism
Modernism is predicated on ignorance of the past.,,,Douglas,,Duany,,Modernism
"The difference between the New Urbanism and Smart Growth is that while both desire the same outcome, the New Urbanism is conceived as private-sector and market-driven while Smart Growth is based on government policy and proscriptions. The one is about choice, profit and the pursuit of happiness as self-defined; while the other is ethical and anhedonic. The CNU attempts only to establish parity between conventional suburban development and diverse, walkable communities hereby allowing the market to decide on a level playing field.",,,Andrés,,Duany,,New Urbanism
"We must replace those memes, the high-art aesthetic ones, with ETHICAL ones. Everything we do has to be on an ethical basis.",,,Andrés,,Duany,,New Urbanism
"The New Urbanism Consists of the Charter and the Charrette. The one is principle based and the other is process-based. The one is rational, the other empirical. The one is general and the other local. The one is ideal, the other political. Principles untested by public participation are coercive and have no authority. A process without a basis in principles lacks structure and credible outcome.",,,Andrés,,Duany,,New Urbanism
You cannot be a New Urbanist unless you are also angry.,,,Andrés,,Duany,,New Urbanism
We walk down the street and reality confirms us. That is why we are strong.,,,Douglas,,Duany,,New Urbanism
Planning issues must be decided by legislators who feel the responsibility to become experts on the subject which they must decide upon.,,,Andrés,,Duany,,Planning
Amateurs accustomed to emulation made great places. It is the professionals of recent decades that have ruined our cities and our landscapes with their inventions.,,,Andrés,,Duany,,Planning
"The problem with planning is that it has been overtaken by mathematical models... traffic, density, impact assessment, public costs etc. discarding common sense and empirical observation.",,,Andrés,,Duany,,Planning
"On the failure of planning as process: when the job seems too difficult, the tool is probably wrong.",,,Andrés,,Duany,,Planning
Small lots are the most important planning mechanism.,,,Douglas,,Duany,,Planning
"The problems of preservation are increasingly becoming the problems of urbanism. A question like 'Should angled parking be introduced into a residential neighborhood?' is not and issue of 'historical' preservation, but of preservation.",,,Andrés,,Duany,,Preservation
Preservation is the requirement for getting us through the current dark ages. It is the fertile soil for when we get past this nightmare.,,,Douglas,,Duany,,Preservation
"If a number of persons are not in some way angry at the planner, then no principles have been presented; the planner has been merely a secretary to the mob, and the plan will be weak to the point of being useless.",,,Andrés,,Duany,,Public Process
Principles untested by public participation are coercive and have no authority. A process without a basis in principles lacks structure and a credible outcome.,,,Andrés,,Duany,,Public Process
That charrette was anti-entropy.,,,Douglas,,Duany,,Public Process
Amateurs accustomed to emulation made great places. It is the professionals of recent decades that have ruined our cities and our landscapes with their inventions.,,,Andrés,,Duany,,Specialist
NIMBYs disguised as environmentalists.,,,Andrés,,Duany,,Sustainability
Thank God for global warming; it came just in time to save Europe.,,,Andrés,,Duany,,Sustainability
America's public spaces are sized by the biggest fire engine the community can afford to buy.,,,Andrés,,Duany,,Thoroughfares
"The street, which is the public realm of America, is now a barrier to community life.",,,Andrés,,Duany,,Thoroughfares
The role of the street is social as well as utilitarian.,,,Andrés,,Duany,,Thoroughfares
"There are components of modern life that are necessary but which intrinsically create bad street frontage: They are the parking lot, the drive-through, and the solid walls of certain businesses and institutions that can't have windows. So there is a certain percentage of modern street frontage that will not deliver pedestrian quality. The only questions are: what percentage of your city must you give over to these uses and where do you locate them. What you need is a system of zoning based not on use, but on the quality of street frontage. Then develop your street grid with a rhythm of A streets and B streets. Designate those streets like your Walnut Street as A streets, where every building on these blocks must be high-grade, pedestrian-oriented and reinforce continuity... no parking lots, no curb cuts. Then assign all your anti-pedestrian frontages to your B streets, your service streets. There is absolutely nothing worse for a city than to make every street excellent. If you try to make every street excellent, every street will be mediocre.",,,Andrés,,Duany,,Thoroughfares
Vinyl awaits its Eiffel.,,,Andrés,,Duany,,Tradition
A historicist is a person who generally believes that old things are always better than new things. A modernist is a person who generally believes that new things are always better than old things. A neo-traditionalist is a person who generally chooses whatever works best in the long run.,,,Andrés,,Duany,,Tradition
The forlorn hope is our tradition.,,,Douglas,,Duany,,Tradition
"There is the transect and there is no ‘Plan B’. If there were, it would be absorbed by the transect--which is an omnivorous taxonomic engine.",,,Andrés,,Duany,,Transect
The transect is one of the great taxonomic engines.,,,Andrés,,Duany,,Transect
"The problem is not the profit motive... profit has always been the driver of building in this country... the issue is the pattern. So long as the pattern was the compact, walkable and diverse neighborhood, we could continue growing... and did so for 250 years. When the pattern changed after WWII, it became unsustainable.",,,Andrés,,Duany,,Urbanism
"In [the traditional New England town], one can live above the store, next to the store, five minutes from the store or nowhere near the store, and it is easy to imagine the different age groups and personalities that would prefer each alternative. In this way and others, the traditional neighborhood provides for an array of lifestyles. In conventional suburbia, there is only one available lifestyle: to own a car and to need it for everything.",Suburban Nation,,Andrés,,Duany,,Urbanism
We are not running out of land. We are running out of urban places.,,,Andrés,,Duany,,Urbanism
"Anti-urban uses (large parking lots, large setbacks, drive-thru's, wide and high-speed roads, etc.) are the new slaughterhouses... the places that people fight against having as neighbors.",,,Andrés,,Duany,,Urbanism
The seeds are in the vernacular but we have to polemicize it,,,Andrés,,Duany,,Vernacular
Craftsmen work in a pre-literate world.,,,Douglas,,Duany,,Vernacular
American suburbia is that place where people have to drive to the gym to use the walking machines.,,,Andrés,,Duany,,Walkability
"Climate has little to do with [how much people walk]. Toronto residents, New Orleanians and Manhattanites, with extremes of weather, walk more than Atlantans. The variable is the quality of the urbanism. Not the weather. People in Stockholm walk more than people in the suburbs of Seville. People in Stockholm's center walk more that they do in Stockholm's 1950's new towns. The variable is always the quality of the urbanism--not the weather.",,,Andrés,,Duany,,Walkability
This should be clear: open space should be within walking the pedestrian shed of every dwelling. The pedestrian shed is the measure of urbanism.,,,Andrés,,Duany,,Walkability
"The 5 Bs... bricks, banners, balloons, benches and berms... do NOT create streetlife. It is the available shopping that provides it.",,,Andrés,,Duany,,Walkability
There is nothing worse than aiming low and missing.,,,Andrés,,Duany,,Wisdom
"Lure the dogs in with the biscuit bits they are used to, and then feed them the steak. They will never go back.",,,Andrés,,Duany,,Wisdom
The American experiment with individualism has crashed. It was a noble experiment; but we should now learn from the British.,,,Douglas,,Duany,,Wisdom
Hidden within an offensive there should always be a defense.,,,Douglas,,Duany,,Wisdom
The only mortal sin is underestimating God.,,,Douglas,,Duany,,Wisdom
All I believe is...that you shouldn't be ignorant.,,,Douglas,,Duany,,Wisdom
Amateurs accustomed to emulation made great places. It is the professionals of recent decades that have ruined our cities with their inventions.,,,Andrés,,Duany,,Vernacular
"As we grow more isolated from each other, personal gripes grow into blanket truths. We have lots of opinions and we shout them angrily into the wind...",,,Carol,Muske,Dukes,,Community
The world we have created today as a result of our thinking thus far has problems which cannot be solved by thinking the way we thought when we created them.,,,Albert,,Einstein,,Change
The world will not evolve past its current state of crisis by using the same thinking that created the situation.,,,Albert,,Einstein,,Change
"Any intelligent fool can make things bigger, more complex, and more violent. It takes a touch of genius -- and a lot of courage -- to move in the opposite direction.",,,Albert,,Einstein,,Design
Make everything as simple as possible... but no simpler!,,,Albert,,Einstein,,Simplicity
The most beautiful thing we can experience is the mysterious. It is the source of all true art and science.,,,Albert,,Einstein,,Wisdom
It is a scale of proportions which makes the bad difficult and the good easy.,,,Albert,,Einstein,,Wisdom
"Try and penetrate with our limited means the secrets of nature and you will find that, behind all the discernible concatenations, there remains something subtle, intangible and inexplicable.",,,Albert,,Einstein,,Wisdom
"It's not that I'm so smart, it's just that I stay with problems longer.",,,Albert,,Einstein,,Wisdom
The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science,,,Albert,,Einstein,,Wisdom
No amount of experimentation can ever prove me right; a single experiment can prove me wrong.,,,Albert,,Einstein,,Wisdom
Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,,,Albert,,Einstein,,Wisdom
"Equations are more important to me, because politics is for the present, but an equation is something for eternity.",,,Albert,,Einstein,,Wisdom
The past is never dead. It's not even past.,,,William,,Faulkner,,History
The Department of Transportation (DOT) typically keeps the public at bay by having only two phases for their projects: Too early to tell and too late to stop.,,,Earnest,,Fitzgerald,,Transportation
They hang the man and flog the woman That steal the goose from off the common. But let the greater villain loose That steals the common from the goose.,"Folk poem, circa 1764",,,,Anonymous,,Community
"The problem is not the automobile. There are plenty of cars and traffic jams in European cities, but urban planning and design there does not simply revolve around making space for the car. In American downtowns, however, that has too often been the case. For years, downtowns have been decimated as buildings have been cleared and streets widened in an effort to get more cars into the city. Since most cars are driven only a few hours per week, storage is a big problem. Parking lots often take up more space than any other land use.",,,Larry,,Ford,,Parking
Stupid is as stupid does.,Forrest Gump,,Mrs.,,Gump,Sally Field as Forrest Gump’s Mother.,Wisdom
Vision without implementation is hallucination.,,,Ben,,Franklin,,Wisdom
Technological Capitalism is an infernal machine. . .The attachment of Americans to their post offices is pure nostalgia. It's the double vision of a people whose hearts don't like what their desires have created.,How to be Alone,,Jonathan,,Franzen,,New Urbanism
Architects should favor the norm more often than the exception.,,,Sergio,,Frau,,Architecture
"When I'm working on a problem, I never think about beauty. I think only how to solve the problem. But when I have finished, if the solution is not beautiful, I know it is wrong.",,,R. Buckminster,,Fuller,,Design
The soul is not where it lives but where it loves.,,,Thomas,,Fuller,,Wisdom
Be the change you want to see in the world.,,,Mahatma,,Gandhi,,Change
"If you want something really important to be done you must not merely satisfy the reason, you must move the heart also.",,,Mahatma,,Gandhi,,Change
"First they ignore you, then they laugh at you, then they fight you, then you win.",,,Mohandas,,Gandhi,,Change
I think developers who design subdivisions without sidewalks should be shot.,,,Joel,,Garreau,,Thoroughfares
"Successful City Planning: Public action that generates a desirable, widespread and sustained private market reaction.",,,Alexander,,Garvin,,Planning
"There is no community, only a collection of people who are strangers to one another.",,,Francois,,Gaspard,,Community
"When there is a moment of grand unanimity, you can expect great foolishness.",,,Paul,,Giacobbi,,Wisdom
"Each on-street parking spot that is lost costs an adjacent business about $250,000 a year in sales on a thriving Main Street.",,,Bob,,Gibbs,,Parking
You give but little when you give of your possessions. It is when you give of yourself that you truly give.,,,Kahlil,,Gibran,,Wisdom
The veil that clouds your eyes shall be lifted by the hands that wove it.,,,Kahlil,,Gibran,,Wisdom
Style is knowing what play you are in.,,,John,,Gielgud,,Style
A network is only as powerful as the number of participants.,,,Nick,,Gillespie,,Connectivity
Preservationists in Paris rank buildings as follows: Buildings of National Interest Buildings of Interest Buildings of No Interest Regrettable Buildings,,,Ray,,Gindroz,,Architecture
"If you design communities for automobiles, you get more automobiles. If you design them for people, you get walkable, livable communities.",also with Christine Todd Whitman,,Parris,,Glendening,,Walkability
There is no such thing as a bastard material or a bastard style. There are only bastard architects,,,Bruce,,Goff,,Architecture
Urbanism works when it creates a journey as desirable as the destination.,,,Paul,,Goldberger,,Urbanism
My two favorite things in life are libraries and bicycles. They both move people forward without wasting anything. The perfect day: riding a bike to the library.,,,Peter,,Golkin,museum spokesman,Transportation
"If what you sell is the perception of privacy and exclusivity, then every new house is a degradation of the amenity. However, if what you sell is community, then every new house is an enhancement of the asset.",,,Vince,,Graham,,Community
"If buildings are beautiful, higher density compounds that beauty. Conversely, if buildings are ugly, then higher density compounds that ugliness.",,,Vince,,Graham,,Density
Hilton Head island is 30 thousand acres and is choking on one million tourists a year. Charleston is one thousand acres and gracefully absorbs 5.5 million tourists a year.,,,Vince,,Graham,,Planning
Extraordinary singleness of purpose.,responding when asked by a student for the secret of success in architecture,,Michael,,Graves,,Change
"Crime does not follow poverty, it follows concentrations of poverty.",,,Reuben,,Greenberg,"Chief of Police, Charleston SC",Community
It can be proven beyond any reasonable doubt that you will miss 100% of the shots you never take.,,,Wayne,,Gretzky,,Wisdom
"Since my early youth I have been acutely aware of the chaotic ugliness of our modern man-made environment when compared to the unity and beauty of old, pre-industrial towns.",,,Walter,,Gropius,,Vernacular
"My grandson Eric and his wife, Jennifer, recently acquired a beautiful chocolate-colored Labrador retriever. They have a home in rural Connecticut and an apartment in Lower Manhattan. When asked recently where the dog is happier, Eric replied: Well, he enjoys the openness in the country, and being unleashed. But he really seems to enjoy the city more... that's where all his friends are.",,,David,C.,Gross,,City
"As art patrons, merchants can be to our time what the church and nobility were to the Middle Ages.",,,Victor,,Gruen,,Wisdom
Neighborhood lobbyists have far too much influence and this influence in the end almost always equals more sprawl.,,,Laura,,Hall,,Public Process
"Mary Peters, the administrator of the Federal Highway Administration, recently testified before a committee of the U.S. Senate that mobility is one of our greatest freedoms and that congestion must be addressed with a long-term strategy to increase capacity (FHWA 2002d). In its 2001 Report to the Nation, the Federal Highway Administration declared that our highway transportation system serves to unify America and sustain the American way of life (FHWA 2001). Implicit in such statements is the belief that Americans have a right to drive and, more specifically, that Americans have the right to drive anywhere they want at any time of day they want at speeds unimpeded by congestion. Time and monetary losses resulting from congestion are officially measured relative to free flow conditions, thereby establishing free-flow conditions as the unquestioned standard.",,,Susan,,Handy,,Cars
"The motor car reflects our standard of living and gauges the speed of our present life. It long ago ran down Simple Living, and never halted to inquire about the prostrate figure which fell as its victim.",1922 State of the Union address,,Warren,G.,Harding,,Cars
"The quality I most value in buildings is that of inevitability: when everything is in its place, when there is nothing redundant, when everything is exactly right, you can say it was 'inevitable'.",,,Matthew,,Hardy,,Architecture
"If you want the retail of Paris, build Paris.",,,Seth,,Harry,,City
"I've always described Density in terms of dollars: The more you have of it, the more you can buy with it -- referring to amenities, of course (cultural, entertainment, dining, etc.). When I get asked what's the single most important thing that can be added to a city to help revitalize it (they are always waiting for the latest retail or entertainment thing...), I always say housing.",,,Seth,,Harry,,Density
"The suburban conundrum: As density goes down in a suburban setting, both arterial sizes and retail format sizes tend to go up, while the frequency of both go down, resulting in longer trips, to fewer boxes, of ever increasing scale.",,,Seth,,Harry,,Density
"Big boxes are symptomatic of sprawl, not the fundamental producers of it.",,,Seth,,Harry,,Sprawl
"Transportation consumes 30% of all energy, 80 % of oil and causes 30% of CO2 emissions.",,,Hal,,Harvey,The Energy Foundation,Transportation
Problems worthy of attack prove their worth by hitting back.,,,Piet,,Hein,,Change
"There are some things that cannot be learned quickly, and time, which is all we have, must be paid heavily for their acquiring.",,,Ernest,,Hemingway,,Wisdom
Adding lanes to solve traffic congestion is like loosening your belt to solve obesity.,,,Glen,,Hemistra,,Thoroughfares
"Like every discipline, architecture too, is confronted with the pressing need to define its fundamental principles and the means at its disposition. The exactness of the definitions require formal clarity and imposes order on chaos, in the most concrete ways.",,,Ludwig,,Hilbersheimer,,Codes
"The chaos of the city of today can be opposed only by attempts at theoretical systematization, having the purpose of enucleating from actual situations... in a totally abstract way... the fundamental principles of urban planning, thereby arriving at the formulation of general forms that then permit the solution of determined concrete problems. Only the abstraction of the specific case enables us, in fact, to demonstrate how the disparate elements that make up a large city can be placed, in an orderly way, in relationship to the whole.",,,Ludwig,,Hilbesheimer,,Codes
"Setbacks, Height Limits, Open Space, Parking requirements (S.H.O.P.). The four stooges of zoning have effectively outlawed compact, affordable, walkable, mixed use (CAWMU) in the United States.",,,Fenno,,Hoffman,,Planning
The ability to simplify means to eliminate the unnecessary so that the necessary may speak.,,,Hans,,Hofmann,"painter, 1880-1966",Simplicity
E-mail is a party to which English teachers have not been invited. It has companies tearing their hair out.,,,R. Craig,,Hogan,A former professor who heads an online school for business writing,Wisdom
"One's mind, once stretched by a new idea, never regains its original dimensions.",,,Oliver,Wendell,Holmes,,Change
"A hundred years after we are gone and forgotten, those who never heard of us will be living with the results of our actions.",,,Oliver,Wendell,Holmes,,Planning
"I would not give a fig for the simplicity this side of complexity, but I would give my life for the simplicity on the other side of complexity.",,,Oliver,Wendell,Holmes,,Simplicity
"Do not be bullied out of your common sense by the specialist; two to one, he is a pedant.",,,Oliver,Wendell,Holmes,,Specialist
"I think that, as life is action and passion, it is required of a man that he should share the passion and action of his time at peril of being judged not to have lived.",,,Oliver,Wendell,Holmes,,Wisdom
Many ideas grow better when transplanted into another mind than in the one where they sprung up.,,,Oliver,Wendell,Holmes,,Wisdom
Beware how you take away hope from another human being.,,,Oliver,Wendell,Holmes,,Wisdom
"Why can't somebody give us a list of things that everybody thinks and nobody says, and another list of things that everybody says and nobody thinks.",,,Oliver,Wendell,Holmes,,Wisdom
"God will not look your over for medals, degrees or diplomas, but for scars.",,,Elbert,,Hubbard,,Wisdom
Our ignorance is not so vast as our failure to use what we know.,,,M. K.,,Hubbert,,Wisdom
The beautiful is as useful as the useful...and perhaps more so.,,,Victor,,Hugo,,Wisdom
Try to learn something about everything and everything about something.,,,Thomas,H.,Huxley,,Specialist
"The only people, scientific or other, who never make mistakes are those who do nothing.",,,Thomas,H.,Huxley,,Wisdom
"The last place you want to build anything is virgin land. In America it's the first place, but it should be the last place.",,,Thomas,,Hylton,Pulitzer Prize winning former journalist,Environment
A community is like a ship; everyone ought to be prepared to take the helm.,,,Henrik,,Ibsen,,Community
The City is organized complexity.,,,Jane,,Jacobs,,City
"Lowly, unpurposeful and random as they appear, sidewalk contacts are the small change from which a city's wealth of public life must grow.",,,Jane,,Jacobs,The Death and Life of Great American Cities,Community
The pseudo science of planning seems almost neurotic in its determination to imitate empiric failure and ignore empiric success.,,,Jane,,Jacobs,,Planning
"Lowly, unpurposeful and random as they appear, sidewalk contacts are the small change from which a city's wealth of public life must grow.",,,Jane,,Jacobs,,Walkability
"Astonishingly, it is the young who are now preaching moderation, correcting their teachers, outdoing them in flawlessness, in perfection. . . What do these young people want? They are striving for maturity, calm, balance, they abhor all radicalism, they are searching for the Golden Mean between old and new. Their works thus serves as a silent accusation against what came before, a kind of censure.",describing the revolt against the excesses of Art Nouveau,,Anton,,Jaumann,,Style
"The will of the people is the only legitimate foundation of any government, and to protect its free expression should be our first object.",,,Thomas,,Jefferson,,Government
We in America do not have government by the majority. We have government by the majority who participate.,,,Thomas,,Jefferson,,Government
"Rightful liberty is unobstructed action according to our will within limits drawn around us by the equal rights of others. I do not add 'within the limits of the law' because law is often but the tyrant's will, and always so when it violates the rights of the individual.",,,Thomas,,Jefferson,,Government
``Communities should be planned with an eye to the effect on the human spirit of being continually surrounded by a maximum of beauty.'',,,Thomas,,Jefferson,,Planning
"But seek the welfare of the City and pray to the Lord on its behalf, for in its welfare you will find your welfare.",,,,,Jeremiah 29:7,,City
"Power corrupts, but so does weakness, and absolute weakness corrupts absolutely.",,,Josef,,Joffe,,Leadership
In my Father's house are many mansions.,John 14:2,,,,The Bible,,Wisdom
"Can a great, democratic society generate the drive to plan, and having planned, execute projects of great natural beauty?",1965,,Lady Bird,,Johnson,,Planning
Nothing will ever be attempted if all possible objections must first be overcome.,,,Samuel,,Johnson,,Wisdom
"Architecture without sensibility to its context is like sex without love: entertaining perhaps, but not the source of lasting joy.",,,Mark,Wilson,Jones,,Architecture
"All time-saving methods, to which alleviaton of traffic congestion and other conveniences belong, do not, paradoxically, save any time, but simply fill the time available in such a manner that one has no more time at all. The result of this is inevitable, breathless haste, superficiality and nervous fatigue with all the related symptoms like nervous hunger, impatience, irritability, distractedness etc...",,,Carl,,Jung,,Cars
"As far as we can discern, the sole purpose of existence is to kindle a light in the darkness of being.",,,Carl,,Jung,,Wisdom
Cities have to move to a new system. They should look at the streets they like and the public spaces they like and then write the rules to get more of what they like and less of what they don't. Conventional zoning doesn't do that. It just gives a use and a density and then you hope for the best.,,,Peter,,Katz,,New Urbanism
The best way to predict the future is to invent it.,,,Alan,,Kay,,Change
"The more parking space, the less sense of place.",,,Jane,Holtz,Kay,,Parking
Sometimes I feel like I'm the only one trying to gentrify this neighborhood.,,,Eli,,Kearney,,Community
"Any city planner who thinks that easing the traffic flow will decrease the city’s congestion is simply living in a dream world. Likewise, the addition of parking facilities will not, and never has, eliminated parking problems. When you improve a small congested road, you wind up with a big congested road. Likewise, the better the traffic pattern, the more traffic on that pattern; the more parking lots, the more people looking for a place to park.",,,John,,Keats,,Cars
"Architectural codes must give buildings a sense of place, of climate, of history, and of limits.",,,Doug,,Kelbaugh,,Codes
"I've come to think that, in this secular world, (architecture) students are so starved for something metaphysical, that aesthetics have taken on a sort of spiritual role in their lives, with the intoxication and conceit of playing God as form-makers.",,,Douglas,,Kelbaugh,,Modernism
"Science may have found a cure for most evils, but it has found no remedy for the worst of them all- the apathy of human beings.",,,Helen,,Keller,,Wisdom
"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",,,Helen,,Keller,,Wisdom
"I long to accomplish a great and noble task, but it is my chief duty to accomplish small tasks as if they were great and noble.",,,Helen,,Keller,,Wisdom
"The atom is the past. The symbol of science for the next century is the Net. The Net is the archetype displayed to represent all circuits, all intelligence, all interdependence, all things economic, social and ecological, all communications, all democracy all groups all large systems.",,,Kevin,,Kelly,,Change
"I look forward to an America which will not be afraid of grace and beauty, which will protect the beauty of our natural environment, which will preserve the great old American houses and squares and parks of our national past, and which will build handsome and balanced cities for our future.",,,John,Fitzgerald,Kennedy,,Architecture
Courage requires the existence of fear.,,,Nancy,,Kenney,,Wisdom
"Whatever a traffic engineer tells you to do, do the opposite and you'll improve your community.",,,Fred,,Kent,,Cars
"If you plan cities for cars and traffic, you get cars and traffic. If you plan for people and places, you get people and places.",,,Fred,,Kent,,City
"The only people who interest me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn, like a fabulous yellow roman candles exploding like spiders across the stars.",,,Jack,,Kerouac,,Wisdom
"My interest is in the future, because I am going to spend the rest of my life there.",,,Charles,,Kettering,,Wisdom
It is easier to take in a new idea than to get rid of an old one.,,,John,Maynard,Keynes,,Change
It is better to be roughly right than precisely wrong.,,,John,Maynard,Keynes,,Wisdom
Man is Nature.,,,Dan,,Kiley,,Environment
Seductive congestion. It's what the best cities are all about.,,,John,,King,,City
"It's true that Germans have always had a special love affair with the car, but there's no reason you have to remain trapped in a bad and unhealthy relationship.",,,Pit,,Klasen,,Cars
Men do not love Rome because she is beautiful; Rome is beautiful because men have loved her.,,,Leopold,,Kohr,,City
"Modernism's alchemistic promise... to transform quantity into quality through abstraction and repetition... has been a failure, a hoax: magic that didn't work. Its ideas, aesthetics, strategies are finished. Together, all attempts to make a new beginning have only discredited the idea of a new beginning. A collective shame in the wake of this fiasco has left a massive crater in our understanding of modernity and modernization.",,,Rem,,Koolhaas,,Modernism
Architecture has died and been replaced by air conditioning.,,,Rem,,Koolhaas,,Modernism
"Tradition is the concrete, contingent, particular, and historically embodied realities of our daily lives, unified together under a coherent system of thought and practice. It is any set of practices, customs, rituals, texts, arguments, authorities, institutions, artifacts, (and any other type of historically extended and socially embodied phenomena) unified by a distinct narrative or story serving to interpret and order these phenomena, affording the participant particular habits of knowing, judging, and feeling, and thus access to an overarching comprehension of the world, the good, and his place in it.",,,Thaddeus,,Kozinski,,Tradition
"Cities are gentrified by the following types of people in sequence: first the risk-oblivious, usually artists, then the risk-aware, the developers, and finally the risk adverse, the dentists from Des Moines.",,,Bill,,Kraus,,City
The majority of sprawl in this country is produced by those who are fleeing from sprawl.,,,Alex,,Krieger,,Sprawl
This is what is going to kill democracy: when people who don't know what they are talking about insist on having a voice.,,,Leon,,Krier,,Public Process
Today construction is independent of style. Generally these days you do not know the style of the building until three weeks before it is finished.,,,Leon,,Krier,,Style
Meditation is not a means to an end. It is both the means and the end.,,,Jiddu,,Krishnamurti,,Wisdom
"The CNU is 'the only truly organized voice in planning in the United States and has become the most important force in architecture, with the exception of Frank Gehry, in the last 30 years.'",,,Reed,,Kroloff,,New Urbanism
"Containing this type of use of 50/50 [50 mph and 50,000 cars per day] streets is far beyond the will and ability of the typical local government. The 50/50 arterial is a gift-wrapped, gold-plated, gift to strip development. Once in place, almost no power on earth will stop its march toward strip commercial. Time spent berating local governments (counties and cities) for not doing better with these monstrosities (and I've done my share of this) is satisfying to the critic, but is unproductive. Once in place, it is too late to do much about the 50/50 arterial.",,,Walter,,Kulash,,Thoroughfares
"A road is a strip of ground over which one walks. A highway differs from a road not only because it is solely intended for vehicles, but also because it is merely a line which connects one point to another. A highway has no meaning in itself. Its meaning derives entirely from the two points which it connects. A road is attribute to space. Every stretch of road has meaning in itself and invites us to stop. A highway is the triumphant devaluation of space, which thanks to it has been reduced to a mere obstacle to human movement and a waste of time.",,,Milan,,Kundera,,Thoroughfares
"It actually took more effort, and a deeper background in principle and technique, on the part of the 19th century architect to contrive proportioning schemes that would nourish the heart and soul of a normal human being. Today it is the common citizen, forced to live among the baleful monstrosities of 20th century architecture, who must expend extreme mental effort to keep from shrieking in agony at every turn.",,,James,Howard,Kunstler,,Architecture
It matters that our cities are primarily auto storage depots. It matters that our junior high schools look like insecticide factories. It matters that our libraries look like beverage distribution warehouses. It matters that the best hotel in town looks like a minimum security prison. To live and work and walk among such surroundings is a form of spiritual degradation. It's hard to feel good about yourself when so much of what you see on a typical day is so unrelentingly drab.,,,James,Howard,Kunstler,,Cars
"City-making is an art rather than a product of statistical analysis or social service casework.The future will compel us to change our way of life, to give up the fiasco of suburbia and all its revolting accessories and recondense our living and working places into the traditional human habitats called cities, towns, and neighborhoods.",The City In Mind,,James,Howard,Kunstler,,City
The 20th Century was about getting around. The 21st Century will be about staying in a place worth staying in.,,,James,Howard,Kunstler,,City
The trouble with narcissistic architects is that other people don't count for them. Narcissistic architecture in inherently devoid of a social dimension.,,,James,Howard,Kunstler,,Modernism
"America at the turn of the millennium is suffering the woeful consequences, largely unanticipated, of trying to become a drive-in utopia. The attempt took roughly eighty years, from the end of the First World War to the brink of global warming, oil depletion, and other epochal disorders hard upon us. This nation's massive suburban build-out was an orgy of misspent energy and material resources that squandered our national wealth and left us with an infrastructure of daily life that, left as is, has poor prospects in the new century. It is also hard to overstate the cultural destruction that was one of its chief side effects, especially the loss of knowledge, tradition, skill, custom, and vernacular wisdom in the art of city-making that was thrown into the dumpster of history in our effort to fulfill General Motors' 'World of Tomorrow'",The City In Mind,,James,Howard,Kunstler,,Sprawl
